| Agent    0 | Location(x,y) = (  41,  67) in Environment -   DerivENV | High-Level-State 0
| Agent    1 | Location(x,y) = ( 100,  69) in Environment -   DerivENV | High-Level-State 0
| Agent    2 | Location(x,y) = ( 278,  58) in Environment -   DerivENV | High-Level-State 0
| Agent    3 | Location(x,y) = (  64,   5) in Environment -   DerivENV | High-Level-State 0
| Agent    4 | Location(x,y) = (  81,  27) in Environment -   DerivENV | High-Level-State 0
| Agent    5 | Location(x,y) = (  91,  95) in Environment -   DerivENV | High-Level-State 0
| Agent    6 | Location(x,y) = (  27,  36) in Environment -   DerivENV | High-Level-State 0
| Agent    7 | Location(x,y) = ( 204,   2) in Environment -   DerivENV | High-Level-State 0
| Agent    8 | Location(x,y) = ( 292,  82) in Environment -   DerivENV | High-Level-State 0
| Agent    9 | Location(x,y) = ( 316,  18) in Environment -   DerivENV | High-Level-State 0
| Agent   10 | Location(x,y) = ( 247,  26) in Environment -   DerivENV | High-Level-State 0
| Agent   11 | Location(x,y) = ( 338,  69) in Environment -   DerivENV | High-Level-State 0
| Agent   12 | Location(x,y) = (  67,  99) in Environment -   DerivENV | High-Level-State 0
| Agent   13 | Location(x,y) = ( 294,   3) in Environment -   DerivENV | High-Level-State 0
| Agent   14 | Location(x,y) = ( 122,  33) in Environment -   DerivENV | High-Level-State 0
| Agent   15 | Location(x,y) = ( 264,  41) in Environment -   DerivENV | High-Level-State 0
| Agent   16 | Location(x,y) = ( 253,  68) in Environment -   DerivENV | High-Level-State 0
| Agent   17 | Location(x,y) = (  44,  62) in Environment -   DerivENV | High-Level-State 0
| Agent   18 | Location(x,y) = (  37,  59) in Environment -   DerivENV | High-Level-State 0
| Agent   19 | Location(x,y) = ( 141,  29) in Environment -   DerivENV | High-Level-State 0
| Agent   20 | Location(x,y) = ( 316,  35) in Environment -   DerivENV | High-Level-State 0
| Agent   21 | Location(x,y) = ( 242,  88) in Environment -   DerivENV | High-Level-State 0
| Agent   22 | Location(x,y) = ( 240,  42) in Environment -   DerivENV | High-Level-State 0
| Agent   23 | Location(x,y) = ( 248,  46) in Environment -   DerivENV | High-Level-State 0
