Sample,NumSusceptible,NumInfected,NumRecovered,NumDead,CumAgeDead,CumAgeRecovery,Time,,,,Age Death,Age Recovery,,,,,,,,
1,78,0,18,3,68,698,85.0115,,,,22.66666667,38.77777778,,,,,,,,
2,98,0,1,0,0,37,14.5907,,,,#DIV/0!,37,,,,,,,,
3,97,0,2,0,0,49,20.2476,,,,#DIV/0!,24.5,,,Averages:,,HW (a = 0.025),,Variances:,STDEV
4,98,0,1,0,0,41,16.7608,,,,#DIV/0!,41,,Num Dead,0.55,±,0.17232102,,0.573232323,0.757121076
5,96,0,3,0,0,146,35.7406,,,,#DIV/0!,48.66666667,,Num Recovered,4.81,±,0.756384938,,11.04434343,3.323303091
6,91,0,8,0,0,229,64.6159,,,,#DIV/0!,28.625,,Num Susceptible,93.63,±,0.827706881,,13.22535354,3.636667917
7,92,0,6,1,35,286,52.9687,,,,35,47.66666667,,Time,44.1428179,±,5.172005773,,516.3832664,22.724068
8,95,0,4,0,0,183,41.3095,,,,#DIV/0!,45.75,,,,,,,,
9,98,0,1,0,0,10,8.62072,,,,#DIV/0!,10,,,,,,,,
10,89,0,9,1,37,340,92.1579,,,,37,37.77777778,,,,,,,,
11,97,0,2,0,0,33,34.0761,,,,#DIV/0!,16.5,,,,,,,,
12,90,0,9,0,0,205,87.2491,,,,#DIV/0!,22.77777778,,,,,,,,
13,91,0,8,0,0,229,48.5799,,,,#DIV/0!,28.625,,,,,,,,
14,91,0,6,2,67,227,40.234,,,,33.5,37.83333333,,,,,,,,
15,95,0,4,0,0,111,37.0353,,,,#DIV/0!,27.75,,,,,,,,
16,92,0,7,0,0,251,48.9045,,,,#DIV/0!,35.85714286,,,,,,,,
17,97,0,2,0,0,109,29.6336,,,,#DIV/0!,54.5,,,,,,,,
18,97,0,1,1,80,59,23.4662,,,,80,59,,,,,,,,
19,97,0,1,1,71,31,20.9193,,,,71,31,,,,,,,,
20,94,0,5,0,0,162,42.1557,,,,#DIV/0!,32.4,,,,,,,,
21,98,0,1,0,0,31,8.17117,,,,#DIV/0!,31,,,,,,,,
