Sample,NumSusceptible,NumInfected,NumRecovered,NumDead,CumAgeDead,CumAgeRecovery,Time,,,,Age Death,Age Recovery,,,,,,,,
1,0,0,88,12,455,3116,43.4288,,,,37.91666667,35.40909091,,,,,,,,
2,0,0,92,8,404,3421,47.9636,,,,50.5,37.18478261,,,,,,,,
3,0,0,91,9,489,3401,48.3484,,,,54.33333333,37.37362637,,,Averages:,,HW (a = 0.025),,Variances:,STDEV
4,0,0,90,10,412,3293,44.4314,,,,41.2,36.58888889,,Num Dead,10.9,±,0.701697833,,9.505050505,3.083026193
5,0,0,92,8,399,3698,51.6651,,,,49.875,40.19565217,,Num Recovered,89.09,±,0.70511597,,9.597878788,3.098044349
6,0,0,93,7,377,3127,46.6763,,,,53.85714286,33.62365591,,Num Susceptible,0.01,±,0.022760035,,0.01,0.1
7,0,0,89,11,596,3337,42.4006,,,,54.18181818,37.49438202,,Time,48.171204,±,1.327793142,,34.03415725,5.833880119
8,0,0,91,9,288,3760,53.6117,,,,32,41.31868132,,,,,,,,
9,0,0,94,6,225,3869,53.3255,,,,37.5,41.15957447,,,,,,,,
10,0,0,97,3,181,3579,44.556,,,,60.33333333,36.89690722,,,,,,,,
11,0,0,87,13,585,3140,49.7851,,,,45,36.09195402,,,,,,,,
12,0,0,90,10,423,3586,69.1579,,,,42.3,39.84444444,,,,,,,,
13,0,0,86,14,597,3257,43.5368,,,,42.64285714,37.87209302,,0.00010001,,,,,,
14,0,0,84,16,670,3295,49.5815,,,,41.875,39.22619048,,,,,,,,
15,0,0,86,14,518,3079,53.2062,,,,37,35.80232558,,,,,,,,
16,0,0,92,8,324,3594,47.5923,,,,40.5,39.06521739,,,,,,,,
17,0,0,87,13,475,3440,59.0611,,,,36.53846154,39.54022989,,,,,,,,
18,0,0,90,10,409,3837,45.4278,,,,40.9,42.63333333,,,,,,,,
19,0,0,93,7,337,3427,45.3562,,,,48.14285714,36.84946237,,,,,,,,
20,0,0,87,13,354,2924,60.4521,,,,27.23076923,33.6091954,,,,,,,,
21,0,0,87,13,478,3282,43.2184,,,,36.76923077,37.72413793,,,,,,,,
22,0,0,90,10,480,3549,52.0774,,,,48,39.43333333,,,,,,,,
23,0,0,82,18,717,2914,48.2324,,,,39.83333333,35.53658537,,,,,,,,
24,0,0,87,13,506,3345,42.6529,,,,38.92307692,38.44827586,,,,,,,,
25,0,0,84,16,663,3204,46.2645,,,,41.4375,38.14285714,,,,,,,,
26,0,0,84,16,655,3165,47.5926,,,,40.9375,37.67857143,,,,,,,,
27,0,0,94,6,265,3437,49.0374,,,,44.16666667,36.56382979,,,,,,,,
28,0,0,92,8,430,3576,45.8981,,,,53.75,38.86956522,,,,,,,,
29,0,0,89,11,500,3103,52.1105,,,,45.45454545,34.86516854,,,,,,,,
30,0,0,91,9,446,3539,40.2591,,,,49.55555556,38.89010989,,,,,,,,
31,0,0,86,14,575,3589,37.7127,,,,41.07142857,41.73255814,,,,,,,,
32,0,0,94,6,274,3631,42.2549,,,,45.66666667,38.62765957,,,,,,,,
33,0,0,88,12,462,3094,45.5666,,,,38.5,35.15909091,,,,,,,,
34,0,0,90,10,430,3272,41.4517,,,,43,36.35555556,,,,,,,,
35,0,0,88,12,422,3228,41.1331,,,,35.16666667,36.68181818,,,,,,,,
36,0,0,87,13,309,2974,45.772,,,,23.76923077,34.18390805,,,,,,,,
37,0,0,88,12,618,3532,47.3709,,,,51.5,40.13636364,,,,,,,,
38,0,0,91,9,463,3246,43.5134,,,,51.44444444,35.67032967,,,,,,,,
39,0,0,86,14,706,3016,48.143,,,,50.42857143,35.06976744,,,,,,,,
40,0,0,86,14,684,3335,41.1659,,,,48.85714286,38.77906977,,,,,,,,
41,0,0,85,15,745,3112,51.8121,,,,49.66666667,36.61176471,,,,,,,,
42,0,0,88,12,541,3253,47.8984,,,,45.08333333,36.96590909,,,,,,,,
43,0,0,86,14,878,3230,48.8083,,,,62.71428571,37.55813953,,,,,,,,
44,0,0,82,18,766,3120,44.2311,,,,42.55555556,38.04878049,,,,,,,,
45,0,0,91,9,310,3328,46.5068,,,,34.44444444,36.57142857,,,,,,,,
46,0,0,88,12,496,2795,45.7758,,,,41.33333333,31.76136364,,,,,,,,
47,0,0,92,8,261,3353,45.927,,,,32.625,36.44565217,,,,,,,,
48,0,0,86,14,618,3198,48.6186,,,,44.14285714,37.18604651,,,,,,,,
49,0,0,84,16,525,3134,42.332,,,,32.8125,37.30952381,,,,,,,,
50,0,0,92,8,303,3719,46.0123,,,,37.875,40.42391304,,,,,,,,
51,0,0,83,17,717,3500,56.1361,,,,42.17647059,42.1686747,,,,,,,,
52,0,0,91,9,334,3436,42.2223,,,,37.11111111,37.75824176,,,,,,,,
53,0,0,88,12,327,3320,52.557,,,,27.25,37.72727273,,,,,,,,
54,1,0,84,15,662,3162,47.3838,,,,44.13333333,37.64285714,,,,,,,,
55,0,0,90,10,568,3324,45.5817,,,,56.8,36.93333333,,,,,,,,
56,0,0,93,7,321,3490,40.8935,,,,45.85714286,37.52688172,,,,,,,,
57,0,0,89,11,455,3252,55.9741,,,,41.36363636,36.53932584,,,,,,,,
58,0,0,87,13,485,3419,47.6494,,,,37.30769231,39.29885057,,,,,,,,
59,0,0,89,11,465,3095,53.2711,,,,42.27272727,34.7752809,,,,,,,,
60,0,0,84,16,783,3122,54.8116,,,,48.9375,37.16666667,,,,,,,,
61,0,0,91,9,344,3141,47.1412,,,,38.22222222,34.51648352,,,,,,,,
62,0,0,91,9,479,3478,44.497,,,,53.22222222,38.21978022,,,,,,,,
63,0,0,93,7,441,3642,42.9267,,,,63,39.16129032,,,,,,,,
64,0,0,93,7,314,3324,41.5053,,,,44.85714286,35.74193548,,,,,,,,
65,0,0,85,15,688,3261,43.1236,,,,45.86666667,38.36470588,,,,,,,,
66,0,0,92,8,390,3599,44.1462,,,,48.75,39.11956522,,,,,,,,
67,0,0,87,13,587,3546,57.9602,,,,45.15384615,40.75862069,,,,,,,,
68,0,0,91,9,264,3302,45.9736,,,,29.33333333,36.28571429,,,,,,,,
69,0,0,88,12,516,3403,55.2324,,,,43,38.67045455,,,,,,,,
70,0,0,91,9,372,3556,46.6791,,,,41.33333333,39.07692308,,,,,,,,
71,0,0,91,9,411,3416,46.3314,,,,45.66666667,37.53846154,,,,,,,,
72,0,0,92,8,336,3426,55.4195,,,,42,37.23913043,,,,,,,,
73,0,0,89,11,368,3249,48.2935,,,,33.45454545,36.50561798,,,,,,,,
74,0,0,92,8,388,3401,56.1297,,,,48.5,36.9673913,,,,,,,,
75,0,0,91,9,452,3011,44.8748,,,,50.22222222,33.08791209,,,,,,,,
76,0,0,89,11,412,4000,47.7418,,,,37.45454545,44.94382022,,,,,,,,
77,0,0,88,12,593,3436,46.4401,,,,49.41666667,39.04545455,,,,,,,,
78,0,0,96,4,196,3766,55.619,,,,49,39.22916667,,,,,,,,
79,0,0,88,12,462,3340,72.6421,,,,38.5,37.95454545,,,,,,,,
80,0,0,87,13,449,3123,47.2165,,,,34.53846154,35.89655172,,,,,,,,
81,0,0,91,9,460,3417,43.0677,,,,51.11111111,37.54945055,,,,,,,,
82,0,0,88,12,438,3155,46.9585,,,,36.5,35.85227273,,,,,,,,
83,0,0,91,9,355,3787,45.8997,,,,39.44444444,41.61538462,,,,,,,,
84,0,0,93,7,306,3359,57.4363,,,,43.71428571,36.11827957,,,,,,,,
85,0,0,87,13,625,3300,46.618,,,,48.07692308,37.93103448,,,,,,,,
86,0,0,89,11,424,3534,50.1901,,,,38.54545455,39.70786517,,,,,,,,
87,0,0,90,10,284,3325,57.9793,,,,28.4,36.94444444,,,,,,,,
88,0,0,90,10,465,3307,45.4862,,,,46.5,36.74444444,,,,,,,,
89,0,0,92,8,334,3499,54.7181,,,,41.75,38.0326087,,,,,,,,
90,0,0,85,15,697,3684,53.7088,,,,46.46666667,43.34117647,,,,,,,,
91,0,0,89,11,509,3281,43.2739,,,,46.27272727,36.86516854,,,,,,,,
92,0,0,89,11,456,3152,51.7351,,,,41.45454545,35.41573034,,,,,,,,
93,0,0,91,9,296,3213,41.3968,,,,32.88888889,35.30769231,,,,,,,,
94,0,0,84,16,758,3005,43.7264,,,,47.375,35.77380952,,,,,,,,
95,0,0,91,9,384,3776,48.962,,,,42.66666667,41.49450549,,,,,,,,
96,0,0,94,6,153,3514,51.3928,,,,25.5,37.38297872,,,,,,,,
97,0,0,87,13,442,3219,43.3946,,,,34,37,,,,,,,,
98,0,0,89,11,473,3892,41.6671,,,,43,43.73033708,,,,,,,,
99,0,0,88,12,459,3419,44.4602,,,,38.25,38.85227273,,,,,,,,
100,0,0,91,9,413,3211,49.7602,,,,45.88888889,35.28571429,,,,,,,,
